task_id,method,seed,model,status,strict_success,macro_state_f1,critical_errors,input_tokens
cf_travel_05_denied,free_form__absent__absent__advisory,404,ministral3-14b-2512,ok,0,0.75,1,9734
cf_travel_05_denied,free_form__absent__executable__advisory,404,ministral3-14b-2512,ok,0,0.75,1,10128
cf_travel_05_denied,typed__trace_linked__executable__advisory,404,ministral3-14b-2512,ok,0,0.75,1,10593
cf_travel_05_denied,typed__absent__absent__advisory,404,ministral3-14b-2512,ok,0,0.75,1,9702
cf_travel_05_denied,free_form__trace_linked__absent__advisory,404,ministral3-14b-2512,ok,0,0.75,1,10396
cf_travel_05_denied,typed__trace_linked__absent__advisory,404,ministral3-14b-2512,ok,0,0.75,1,10399
cf_travel_05_denied,typed__absent__executable__advisory,404,ministral3-14b-2512,ok,0,0.75,1,10076
cf_travel_05_denied,free_form__trace_linked__executable__advisory,404,ministral3-14b-2512,ok,0,0.75,1,10623
cf_travel_06_denied,free_form__absent__absent__advisory,404,ministral3-14b-2512,ok,0,0.41666666666666663,2,9955
cf_travel_06_denied,free_form__absent__executable__advisory,404,ministral3-14b-2512,ok,0,0.41666666666666663,2,10130
cf_travel_06_denied,typed__trace_linked__executable__advisory,404,ministral3-14b-2512,ok,0,0.41666666666666663,2,10780
cf_travel_06_denied,typed__absent__absent__advisory,404,ministral3-14b-2512,ok,0,0.41666666666666663,2,9804
cf_travel_06_denied,free_form__trace_linked__absent__advisory,404,ministral3-14b-2512,ok,0,0.41666666666666663,2,10632
cf_travel_06_denied,typed__trace_linked__absent__advisory,404,ministral3-14b-2512,ok,0,0.41666666666666663,2,10735
cf_travel_06_denied,typed__absent__executable__advisory,404,ministral3-14b-2512,ok,0,0.41666666666666663,2,9953
cf_travel_06_denied,free_form__trace_linked__executable__advisory,404,ministral3-14b-2512,ok,0,0.41666666666666663,2,10830
cf_travel_05_unknown,free_form__absent__absent__advisory,404,ministral3-14b-2512,ok,1,0.75,1,7389
cf_travel_05_unknown,free_form__absent__executable__advisory,404,ministral3-14b-2512,ok,0,0.75,1,10067
cf_travel_05_unknown,typed__trace_linked__executable__advisory,404,ministral3-14b-2512,ok,1,0.75,1,7821
cf_travel_05_unknown,typed__absent__absent__advisory,404,ministral3-14b-2512,ok,0,0.75,1,10056
cf_travel_05_unknown,free_form__trace_linked__absent__advisory,404,ministral3-14b-2512,ok,1,0.75,1,7803
cf_travel_05_unknown,typed__trace_linked__absent__advisory,404,ministral3-14b-2512,ok,1,0.75,1,7760
cf_travel_05_unknown,typed__absent__executable__advisory,404,ministral3-14b-2512,ok,1,0.75,1,10028
cf_travel_05_unknown,free_form__trace_linked__executable__advisory,404,ministral3-14b-2512,ok,1,0.75,1,10591
